weasel, substitution
be abusive of, abuse
be applicable to, apply to
be benefited by, benefit from
be derived from, derive from
be desirous of, desire
be determinative of, determine
be in agreement, agree
be in attendance, attend
be indicative of, indicate
be in error, err
be in existence, exist
be influential on, influence
be in possession of, possess
be in receipt of, have received
be in violation of, violate
be operative, operate
be productive, produce
be promotive of, promote
be supportive of, support


